Posicoes do VANT [X Y Z qX qY qZ qW]

[
 1.61895e-319 6.90241e-310 2.71736e-322 -nan -nan -nan -nan;
 1.16283 -0.730003 8.81231 -0.148262 -0.187725 0.970541 -0.0287707;
 1.00009 -0.666897 8.81363 -0.159313 -0.136694 0.976673 -0.0452014;
 0.771461 -0.567469 8.81089 -0.141118 -0.00944222 0.98938 -0.0335351;
 0.561176 -0.445007 8.82811 -0.183058 -0.0618037 0.98038 -0.039049;
 0.385606 -0.320547 8.83674 -0.202861 -0.120399 0.971319 -0.0298583;
 0.199214 -0.169404 8.84843 -0.186955 -0.229185 0.954547 -0.0369155;
 -0.0225599 0.00557754 8.86129 -0.067647 -0.128913 0.988633 -0.0375522;
 -0.237971 0.163612 8.87628 0.0657896 -0.12053 0.989894 -0.0354111;
 -0.367512 0.251786 8.88088 0.0159097 -0.179505 0.982895 -0.0379835;
 -0.672744 0.417395 8.87222 -0.0864429 -0.284577 0.953037 -0.0571301;
 -0.816914 0.498719 8.82613 -0.133368 -0.285239 0.94692 -0.064765;
 -1.06665 0.640888 8.72349 -0.0837724 -0.138046 0.983947 -0.0759836;
 -1.30748 0.783154 8.6479 0.0203832 -0.058047 0.995 -0.0786752;
 -1.44776 0.863107 8.59437 0.000163203 -0.108212 0.991754 -0.0686562;
 -1.65443 0.970651 8.51059 0.0705116 0.0953069 0.989783 -0.0792076;
 -1.83319 1.05741 8.4262 0.0967994 0.161809 0.978116 -0.0879632;
 -1.93055 1.09044 8.41006 0.088714 0.198595 0.972518 -0.0830568;
 -1.97533 1.09519 8.42954 0.0450265 0.208363 0.974315 -0.0725825;
 -1.98315 1.08595 8.44731 0.0977065 0.251844 0.958114 -0.0951049;
 -1.94964 1.06058 8.46846 0.159124 0.286492 0.937821 -0.114424;
 -1.87646 0.999917 8.47304 0.20564 0.288131 0.926391 -0.128425;
 -1.76884 0.898851 8.47902 0.235448 0.270011 0.922778 -0.14191;
